row_id,Usage,rule_violation,rule
2242,Private,1,financial
2243,Private,1,financial
2244,Private,1,financial
2245,Public,1,promotion
2246,Private,0,financial
2247,Private,1,spoilers
2248,Private,0,medical
2249,Private,0,medical
2250,Public,0,medical
2251,Private,1,spoilers
2252,Public,0,spoilers
2253,Public,1,promotion
2254,Public,1,advertising
2255,Public,0,financial
2256,Private,1,promotion
2257,Private,1,legal
2258,Private,0,financial
2259,Private,1,promotion
2260,Private,1,advertising
2261,Private,0,legal
2262,Private,0,legal
2263,Private,0,medical
2264,Private,1,medical
2265,Private,1,promotion
2266,Private,0,medical
2267,Private,1,promotion
2268,Private,0,medical
2269,Private,0,medical
2270,Private,0,financial
2271,Private,1,spoilers
2272,Public,1,promotion
2273,Private,0,advertising
2274,Private,1,advertising
2275,Private,0,financial
2276,Private,0,legal
2277,Private,0,advertising
2278,Private,1,spoilers
2279,Private,0,financial
2280,Private,0,medical
2281,Private,1,spoilers
2282,Private,1,legal
2283,Private,0,medical
2284,Private,0,medical
2285,Private,0,advertising
2286,Private,0,spoilers
2287,Public,1,spoilers
2288,Private,0,advertising
2289,Private,0,advertising
2290,Public,0,medical
2291,Public,1,legal
2292,Public,1,promotion
2293,Private,0,financial
2294,Private,0,medical
2295,Private,1,legal
2296,Private,0,advertising
2297,Private,0,financial
2298,Private,0,spoilers
2299,Private,1,medical
2300,Private,1,promotion
2301,Private,1,promotion
2302,Private,0,financial
2303,Private,0,spoilers
2304,Public,1,promotion
2305,Public,0,spoilers
2306,Private,1,promotion
2307,Public,0,spoilers
2308,Private,1,spoilers
2309,Private,0,financial
2310,Public,1,promotion
2311,Private,0,legal
2312,Private,1,legal
2313,Public,0,financial
2314,Public,0,advertising
2315,Public,0,financial
2316,Private,0,financial
2317,Private,1,legal
2318,Private,1,promotion
2319,Private,0,advertising
2320,Private,1,promotion
2321,Public,0,medical
2322,Public,1,promotion
2323,Private,0,spoilers
2324,Private,0,financial
2325,Public,0,medical
2326,Private,1,legal
2327,Private,1,medical
2328,Private,1,promotion
2329,Private,1,promotion
2330,Public,1,advertising
2331,Public,0,spoilers
2332,Public,0,advertising
2333,Private,0,advertising
2334,Private,0,advertising
2335,Private,0,medical
2336,Private,1,promotion
2337,Private,0,advertising
2338,Private,0,legal
2339,Public,0,advertising
2340,Private,1,promotion
2341,Private,1,medical
2342,Private,1,promotion
2343,Private,1,medical
2344,Private,1,promotion
2345,Private,0,financial
2346,Private,1,spoilers
2347,Public,1,spoilers
2348,Private,1,legal
2349,Private,0,spoilers
2350,Private,1,financial
2351,Private,0,financial
2352,Public,0,spoilers
2353,Public,0,spoilers
2354,Private,1,legal
2355,Private,0,advertising
2356,Public,1,promotion
2357,Private,1,legal
2358,Private,1,promotion
2359,Public,0,financial
2360,Public,0,medical
2361,Public,1,legal
2362,Public,1,promotion
2363,Private,0,legal
2364,Private,1,medical
2365,Private,1,promotion
2366,Public,1,spoilers
2367,Private,0,spoilers
2368,Public,0,spoilers
2369,Private,0,financial
2370,Public,0,medical
2371,Private,0,spoilers
2372,Private,1,promotion
2373,Public,1,spoilers
2374,Private,0,spoilers
2375,Private,1,legal
2376,Private,0,medical
2377,Private,1,advertising
2378,Private,0,financial
2379,Private,1,spoilers
2380,Public,1,promotion
2381,Private,1,promotion
2382,Private,1,promotion
2383,Private,1,promotion
2384,Private,0,financial
2385,Public,1,spoilers
2386,Public,1,promotion
2387,Private,0,spoilers
2388,Private,1,promotion
2389,Public,0,advertising
2390,Public,1,advertising
2391,Private,1,financial
2392,Private,1,promotion
2393,Private,1,medical
2394,Public,1,medical
2395,Public,0,spoilers
2396,Private,0,spoilers
2397,Private,1,legal
2398,Public,1,legal
2399,Public,1,legal
2400,Public,1,medical
2401,Public,0,spoilers
2402,Private,1,promotion
2403,Private,0,advertising
2404,Public,0,advertising
2405,Private,0,medical
2406,Public,1,spoilers
2407,Public,1,advertising
2408,Public,0,medical
2409,Private,0,medical
2410,Private,1,legal
2411,Private,0,medical
2412,Private,0,medical
2413,Private,0,advertising
2414,Private,0,medical
2415,Private,0,spoilers
2416,Private,0,medical
2417,Public,1,financial
2418,Public,1,advertising
2419,Public,0,financial
2420,Public,1,promotion
2421,Private,0,spoilers
2422,Private,0,financial
2423,Public,0,advertising
2424,Private,1,financial
2425,Private,1,advertising
2426,Private,0,medical
2427,Private,0,medical
2428,Private,1,advertising
2429,Private,1,advertising
2430,Private,0,financial
2431,Public,0,financial
2432,Private,1,spoilers
2433,Private,0,financial
2434,Private,1,advertising
2435,Public,0,medical
2436,Public,1,promotion
2437,Private,1,promotion
2438,Private,0,financial
2439,Private,0,legal
2440,Private,1,promotion
2441,Private,1,spoilers
2442,Private,0,financial
2443,Public,0,medical
2444,Public,1,financial
2445,Private,0,medical
2446,Private,0,financial
2447,Private,1,financial
2448,Public,0,spoilers
2449,Private,1,legal
2450,Public,0,medical
2451,Private,1,advertising
2452,Private,1,legal
2453,Public,1,financial
2454,Private,0,medical
2455,Public,1,promotion
2456,Private,1,financial
2457,Private,1,medical
2458,Private,0,spoilers
2459,Private,0,spoilers
2460,Private,1,spoilers
2461,Public,0,advertising
2462,Public,0,legal
2463,Private,1,spoilers
2464,Public,0,medical
2465,Private,1,promotion
2466,Private,1,promotion
2467,Private,0,medical
2468,Private,1,promotion
2469,Private,0,legal
2470,Private,0,spoilers
2471,Private,0,spoilers
2472,Public,1,spoilers
2473,Private,0,spoilers
2474,Public,0,financial
2475,Private,0,spoilers
2476,Private,0,medical
2477,Private,1,legal
2478,Public,1,promotion
2479,Private,1,legal
2480,Private,0,medical
2481,Private,0,medical
2482,Private,1,promotion
2483,Private,0,financial
2484,Private,1,medical
2485,Private,0,advertising
2486,Public,0,spoilers
2487,Public,0,spoilers
2488,Private,1,advertising
2489,Private,1,advertising
2490,Private,1,medical
2491,Public,1,spoilers
2492,Private,0,spoilers
2493,Private,0,spoilers
2494,Private,1,promotion
2495,Private,0,legal
2496,Private,1,medical
2497,Public,0,financial
2498,Private,1,advertising
2499,Private,1,legal
2500,Private,0,advertising
2501,Private,1,advertising
2502,Private,1,promotion
2503,Private,1,legal
2504,Private,1,promotion
2505,Public,0,medical
2506,Private,0,financial
2507,Public,0,financial
2508,Public,1,promotion
2509,Private,0,medical
2510,Public,0,spoilers
2511,Private,0,advertising
2512,Private,1,legal
2513,Public,0,spoilers
2514,Private,1,financial
2515,Private,1,spoilers
2516,Public,1,advertising
2517,Private,1,spoilers
2518,Private,1,promotion
2519,Private,1,financial
2520,Private,1,legal
2521,Private,0,medical
2522,Private,1,financial
2523,Private,1,spoilers
2524,Private,1,advertising
2525,Public,1,legal
2526,Public,1,promotion
2527,Private,1,medical
2528,Private,1,legal
2529,Private,1,promotion
2530,Private,1,promotion
2531,Private,0,financial
2532,Private,1,legal
2533,Public,1,legal
2534,Private,1,financial
2535,Private,1,promotion
2536,Private,1,legal
2537,Private,0,legal
2538,Public,0,financial
2539,Private,0,financial
2540,Private,0,advertising
2541,Private,1,medical
2542,Private,1,promotion
2543,Private,1,promotion
2544,Public,0,legal
2545,Public,0,medical
2546,Private,1,promotion
2547,Public,1,advertising
2548,Private,1,legal
2549,Private,1,promotion
2550,Public,1,spoilers
2551,Private,0,financial
2552,Private,1,promotion
2553,Private,0,spoilers
2554,Private,0,medical
2555,Private,1,advertising
2556,Private,1,promotion
2557,Public,1,promotion
2558,Private,0,medical
2559,Private,1,advertising
2560,Private,1,financial
2561,Public,1,financial
2562,Private,0,medical
2563,Private,0,advertising
2564,Public,1,financial
2565,Public,1,legal
2566,Private,1,legal
2567,Private,0,medical
2568,Private,1,advertising
2569,Private,0,medical
2570,Private,0,advertising
2571,Private,0,promotion
2572,Private,0,financial
2573,Private,1,legal
2574,Public,0,advertising
2575,Public,1,legal
2576,Public,0,spoilers
2577,Private,0,legal
2578,Public,0,financial
2579,Public,1,legal
2580,Private,0,spoilers
2581,Private,1,legal
2582,Private,0,spoilers
2583,Private,0,legal
2584,Private,1,legal
2585,Public,1,promotion
2586,Private,0,spoilers
2587,Private,1,financial
2588,Private,1,legal
2589,Private,1,promotion
2590,Private,1,promotion
2591,Private,0,spoilers
2592,Public,0,advertising
2593,Public,1,promotion
2594,Private,0,advertising
2595,Private,1,promotion
2596,Private,0,spoilers
2597,Private,1,legal
2598,Private,0,spoilers
2599,Public,1,advertising
2600,Public,0,promotion
2601,Public,1,advertising
2602,Public,0,promotion
2603,Public,1,advertising
2604,Public,0,promotion
2605,Private,1,financial
2606,Private,0,legal
2607,Private,1,promotion
2608,Private,0,advertising
2609,Public,0,spoilers
2610,Public,1,advertising
2611,Private,0,medical
2612,Private,1,legal
2613,Private,1,legal
2614,Public,0,financial
2615,Public,1,promotion
2616,Private,0,advertising
2617,Private,0,financial
2618,Public,1,spoilers
2619,Public,1,medical
2620,Private,0,legal
2621,Public,0,spoilers
2622,Private,1,legal
2623,Public,0,legal
2624,Public,1,promotion
2625,Private,0,spoilers
2626,Private,1,medical
2627,Private,0,spoilers
2628,Public,0,legal
2629,Private,0,spoilers
2630,Private,0,advertising
2631,Public,0,legal
2632,Private,1,legal
2633,Public,0,legal
2634,Public,1,promotion
2635,Private,0,legal
2636,Private,1,medical
2637,Private,0,medical
2638,Private,0,medical
2639,Private,0,medical
2640,Private,1,promotion
2641,Private,0,financial
2642,Private,0,legal
2643,Private,1,promotion
2644,Public,1,financial
2645,Public,1,promotion
2646,Public,0,medical
2647,Private,0,financial
2648,Private,1,promotion
2649,Private,0,spoilers
2650,Private,0,spoilers
2651,Private,1,advertising
2652,Private,1,financial
2653,Private,0,legal
2654,Private,1,spoilers
2655,Private,1,spoilers
2656,Private,0,legal
2657,Private,1,promotion
2658,Private,0,legal
2659,Public,1,legal
2660,Private,0,spoilers
2661,Private,0,medical
2662,Public,0,medical
2663,Private,0,spoilers
2664,Private,0,advertising
2665,Private,1,promotion
2666,Public,1,advertising
2667,Public,1,medical
2668,Private,1,promotion
2669,Private,1,medical
2670,Private,1,spoilers
2671,Public,1,advertising
2672,Private,1,promotion
2673,Private,1,legal
2674,Private,0,medical
2675,Public,0,advertising
2676,Public,0,medical
2677,Public,1,legal
2678,Private,1,promotion
2679,Public,1,spoilers
2680,Private,1,legal
2681,Private,1,advertising
2682,Public,0,medical
2683,Private,0,spoilers
2684,Public,1,legal
2685,Private,1,promotion
2686,Public,1,financial
2687,Public,1,legal
2688,Public,1,legal
2689,Private,0,financial
2690,Private,1,medical
2691,Private,0,spoilers
2692,Private,0,spoilers
2693,Public,1,medical
2694,Private,0,advertising
2695,Private,0,financial
2696,Private,1,financial
2697,Private,1,legal
2698,Private,0,spoilers
2699,Private,0,medical
2700,Private,0,spoilers
2701,Private,1,legal
2702,Private,0,medical
2703,Private,0,medical
2704,Private,1,promotion
2705,Private,0,spoilers
2706,Private,1,legal
2707,Private,1,promotion
2708,Private,1,promotion
2709,Public,0,medical
2710,Private,1,advertising
2711,Private,1,advertising
2712,Private,1,advertising
2713,Private,1,advertising
2714,Private,1,advertising
2715,Private,0,financial
2716,Private,1,legal
2717,Private,0,advertising
2718,Private,1,spoilers
2719,Private,0,financial
2720,Private,1,promotion
2721,Private,0,medical
2722,Private,0,medical
2723,Public,0,spoilers
2724,Private,1,legal
2725,Private,1,promotion
2726,Private,1,promotion
2727,Private,1,medical
2728,Private,0,advertising
2729,Private,0,medical
2730,Private,0,spoilers
2731,Private,1,advertising
2732,Public,1,advertising
2733,Public,1,financial
2734,Private,1,legal
2735,Public,0,legal
2736,Public,0,spoilers
2737,Private,0,medical
2738,Private,1,medical
2739,Private,0,spoilers
2740,Private,1,advertising
2741,Private,1,promotion
2742,Private,0,advertising
2743,Private,0,spoilers
2744,Public,0,medical
2745,Private,0,legal
2746,Private,0,financial
2747,Private,1,promotion
2748,Private,1,legal
2749,Private,0,financial
2750,Private,0,medical
2751,Private,0,legal
2752,Private,1,financial
2753,Private,1,legal
2754,Private,1,promotion
2755,Private,0,legal
2756,Public,0,spoilers
2757,Private,0,legal
2758,Private,1,spoilers
2759,Private,0,advertising
2760,Private,0,advertising
2761,Public,0,medical
2762,Private,1,medical
2763,Private,0,legal
2764,Private,1,spoilers
2765,Private,0,medical
2766,Private,1,legal
2767,Public,1,legal
2768,Private,1,promotion
2769,Private,1,promotion
2770,Public,1,promotion
2771,Public,0,spoilers
2772,Private,0,spoilers
2773,Private,0,spoilers
2774,Public,1,promotion
2775,Public,0,spoilers
2776,Private,1,legal
2777,Private,0,medical
2778,Private,1,medical
2779,Private,1,promotion
2780,Public,0,advertising
2781,Public,1,legal
2782,Private,0,spoilers
2783,Private,1,medical
2784,Private,1,spoilers
2785,Private,0,financial
2786,Private,1,legal
2787,Private,0,medical
2788,Private,1,promotion
2789,Public,0,medical
2790,Public,0,financial
2791,Private,1,promotion
2792,Private,1,legal
2793,Private,1,legal
2794,Private,0,legal
2795,Private,0,financial
2796,Private,0,medical
2797,Public,1,medical
2798,Public,0,financial
2799,Public,1,promotion
2800,Private,0,spoilers
2801,Public,0,medical
2802,Private,1,spoilers
2803,Private,0,medical
2804,Private,1,legal
2805,Private,1,spoilers
2806,Private,0,medical
2807,Private,1,legal
2808,Public,1,advertising
2809,Private,0,medical
2810,Private,1,medical
2811,Private,0,financial
2812,Private,1,promotion
2813,Private,1,legal
2814,Private,0,spoilers
2815,Private,1,spoilers
2816,Private,1,legal
2817,Private,1,legal
2818,Private,0,financial
2819,Private,1,promotion
2820,Public,0,advertising
2821,Private,0,medical
2822,Private,0,financial
2823,Private,1,promotion
2824,Private,1,legal
2825,Private,0,spoilers
2826,Public,0,medical
2827,Public,0,financial
2828,Private,0,financial
2829,Private,0,medical
2830,Public,0,advertising
2831,Private,1,spoilers
2832,Private,1,promotion
2833,Private,0,financial
2834,Private,1,legal
2835,Private,0,legal
2836,Private,1,promotion
2837,Public,0,spoilers
2838,Private,0,financial
2839,Public,1,promotion
2840,Public,1,medical
2841,Private,0,promotion
2842,Public,0,financial
2843,Public,1,legal
2844,Public,1,legal
2845,Private,1,legal
2846,Private,1,financial
2847,Public,0,spoilers
2848,Private,0,advertising
2849,Private,0,legal
2850,Private,1,promotion
2851,Private,0,financial
2852,Private,0,medical
2853,Public,1,promotion
2854,Private,1,promotion
2855,Private,0,legal
2856,Public,1,advertising
2857,Public,1,financial
2858,Private,0,spoilers
2859,Private,1,promotion
2860,Private,0,spoilers
2861,Public,1,advertising
2862,Public,1,financial
2863,Private,0,spoilers
2864,Private,0,spoilers
2865,Public,0,advertising
2866,Private,1,advertising
2867,Private,1,legal
2868,Public,1,advertising
2869,Private,0,medical
2870,Public,1,promotion
2871,Public,0,financial
2872,Public,1,financial
2873,Private,0,spoilers
2874,Private,1,promotion
2875,Private,0,legal
2876,Private,1,promotion
2877,Private,1,legal
2878,Private,1,promotion
2879,Private,0,financial
2880,Public,1,spoilers
2881,Private,0,spoilers
2882,Private,0,medical
2883,Private,1,legal
2884,Private,0,medical
2885,Public,1,legal
2886,Private,0,medical
2887,Private,1,medical
2888,Private,0,legal
2889,Private,1,legal
2890,Private,1,promotion
2891,Private,0,spoilers
2892,Private,1,promotion
2893,Private,1,spoilers
2894,Private,1,legal
2895,Private,0,legal
2896,Public,1,promotion
2897,Public,1,promotion
2898,Private,1,financial
2899,Private,0,legal
2900,Private,1,promotion
2901,Private,0,spoilers
2902,Public,0,financial
2903,Private,1,advertising
2904,Private,0,financial
2905,Private,1,advertising
2906,Public,1,promotion
2907,Private,0,financial
2908,Private,1,spoilers
2909,Private,1,legal
2910,Private,1,legal
2911,Public,1,medical
2912,Private,1,promotion
2913,Private,1,spoilers
2914,Private,1,promotion
2915,Private,0,spoilers
2916,Public,0,spoilers
2917,Private,0,advertising
2918,Public,1,spoilers
2919,Private,0,medical
2920,Private,0,medical
2921,Private,0,financial
2922,Private,1,promotion
2923,Public,0,legal
2924,Public,0,medical
2925,Private,0,medical
2926,Private,1,legal
2927,Private,0,advertising
2928,Private,0,promotion
2929,Private,0,financial
2930,Private,0,spoilers
2931,Public,0,legal
2932,Public,1,promotion
2933,Private,1,promotion
2934,Public,1,financial
2935,Private,1,legal
2936,Private,1,financial
2937,Private,1,financial
2938,Private,1,spoilers
2939,Private,1,medical
2940,Private,0,spoilers
2941,Private,1,medical
2942,Public,1,legal
2943,Private,1,legal
2944,Private,0,medical
2945,Private,1,promotion
2946,Private,0,medical
2947,Private,0,legal
2948,Private,1,medical
2949,Public,1,spoilers
2950,Private,0,spoilers
2951,Public,0,spoilers
2952,Public,1,medical
2953,Private,0,medical
2954,Private,1,promotion
2955,Private,1,promotion
2956,Private,0,medical
2957,Private,0,advertising
2958,Public,0,medical
2959,Private,0,spoilers
2960,Private,0,medical
2961,Public,1,financial
2962,Public,1,legal
2963,Public,0,spoilers
2964,Private,1,advertising
2965,Private,0,financial
2966,Public,1,legal
2967,Public,1,legal
2968,Public,0,spoilers
2969,Private,0,legal
2970,Private,1,promotion
2971,Private,1,promotion
2972,Private,0,advertising
2973,Private,1,advertising
2974,Private,1,advertising
2975,Private,0,financial
2976,Private,0,medical
2977,Public,1,promotion
2978,Public,1,promotion
2979,Public,1,advertising
2980,Private,0,medical
2981,Private,1,promotion
2982,Private,0,medical
2983,Private,0,financial
2984,Private,0,legal
2985,Public,1,advertising
2986,Private,1,legal
2987,Private,1,medical
2988,Public,1,medical
2989,Public,1,spoilers
2990,Public,1,medical
2991,Private,1,advertising
2992,Private,0,financial
2993,Private,0,promotion
2994,Public,1,promotion
2995,Public,0,spoilers
2996,Private,1,promotion
2997,Private,1,spoilers
2998,Private,1,promotion
2999,Private,0,spoilers
3000,Public,0,advertising
3001,Private,1,promotion
3002,Public,1,advertising
3003,Private,1,advertising
3004,Private,0,spoilers
3005,Public,1,financial
3006,Public,1,legal
3007,Private,1,promotion
3008,Private,0,spoilers
3009,Private,1,promotion
3010,Private,0,medical
3011,Public,1,spoilers
3012,Private,1,legal
3013,Private,1,promotion
3014,Public,1,legal
3015,Private,1,legal
3016,Private,0,advertising
3017,Private,1,promotion
3018,Private,1,spoilers
3019,Private,0,spoilers
3020,Public,1,advertising
3021,Public,1,promotion
3022,Public,0,legal
3023,Private,0,financial
3024,Private,0,medical
3025,Private,0,advertising
3026,Public,1,spoilers
3027,Private,0,advertising
3028,Private,0,legal
3029,Public,1,spoilers
3030,Private,1,medical
3031,Public,0,legal
3032,Public,1,promotion
3033,Private,1,promotion
3034,Private,1,advertising
3035,Public,1,legal
3036,Private,1,promotion
3037,Private,1,legal
3038,Public,1,spoilers
3039,Private,0,financial
3040,Public,0,advertising
3041,Private,0,legal
3042,Private,0,medical
3043,Private,1,promotion
3044,Private,0,financial
3045,Private,1,financial
3046,Private,1,legal
3047,Private,0,medical
3048,Private,1,promotion
3049,Public,1,medical
3050,Private,1,financial
3051,Private,1,legal
3052,Public,1,advertising
3053,Public,1,promotion
3054,Private,0,medical
3055,Private,0,legal
3056,Private,1,promotion
3057,Public,0,legal
3058,Public,0,medical
3059,Public,1,promotion
3060,Private,1,financial
3061,Private,0,advertising
3062,Private,0,medical
3063,Private,1,legal
3064,Private,0,spoilers
3065,Public,0,legal
3066,Public,1,advertising
3067,Public,0,medical
3068,Private,0,spoilers
3069,Private,0,financial
3070,Private,0,medical
3071,Private,0,financial
3072,Private,0,advertising
3073,Public,0,spoilers
3074,Private,1,medical
3075,Private,1,promotion
3076,Private,0,medical
3077,Private,0,spoilers
3078,Public,1,spoilers
3079,Private,0,medical
3080,Private,0,spoilers
3081,Private,0,financial
3082,Private,0,medical
3083,Private,1,legal
3084,Public,0,advertising
3085,Private,0,advertising
3086,Public,0,legal
3087,Public,1,promotion
3088,Public,0,spoilers
3089,Public,0,advertising
3090,Public,0,financial
3091,Public,1,promotion
3092,Public,0,spoilers
3093,Public,1,spoilers
3094,Public,0,legal
3095,Private,1,promotion
3096,Public,0,financial
3097,Private,0,medical
3098,Private,1,promotion
3099,Public,1,promotion
3100,Private,1,legal
3101,Private,0,medical
3102,Private,0,advertising
3103,Private,1,financial
3104,Private,0,legal
3105,Private,1,promotion
3106,Private,0,financial
3107,Private,0,financial
3108,Private,1,financial
3109,Public,1,spoilers
3110,Private,0,financial
3111,Private,1,medical
3112,Private,0,advertising
3113,Private,0,financial
3114,Private,1,legal
3115,Private,1,legal
3116,Private,0,advertising
3117,Private,0,financial
3118,Private,1,financial
3119,Public,1,promotion
3120,Private,1,financial
3121,Private,0,legal
3122,Private,0,medical
3123,Private,1,financial
3124,Private,0,spoilers
3125,Public,1,medical
3126,Private,0,legal
3127,Private,1,legal
3128,Private,1,medical
3129,Private,1,promotion
3130,Public,0,advertising
3131,Private,1,promotion
3132,Private,1,legal
3133,Public,1,financial
3134,Public,0,legal
3135,Public,1,promotion
3136,Public,0,financial
3137,Private,0,legal
3138,Public,1,spoilers
3139,Private,0,spoilers
3140,Private,0,financial
3141,Private,1,spoilers
3142,Public,0,legal
3143,Public,0,spoilers
3144,Private,1,promotion
3145,Private,1,financial
3146,Private,1,legal
3147,Public,0,financial
3148,Public,1,spoilers
3149,Private,0,advertising
3150,Public,0,advertising
3151,Public,0,advertising
3152,Private,0,medical
3153,Private,0,medical
3154,Private,0,advertising
3155,Private,0,medical
3156,Private,1,medical
3157,Private,1,advertising
3158,Private,1,financial
3159,Public,1,medical
3160,Private,1,spoilers
3161,Public,1,legal
3162,Private,1,advertising
3163,Private,0,financial
3164,Private,1,spoilers
3165,Private,1,advertising
3166,Private,1,advertising
3167,Private,1,advertising
3168,Private,1,advertising
3169,Private,1,advertising
3170,Private,1,advertising
3171,Private,1,promotion
3172,Private,1,promotion
3173,Private,1,promotion
3174,Private,1,promotion
3175,Private,1,promotion
3176,Private,1,promotion
3177,Public,0,legal
3178,Public,1,promotion
3179,Public,0,financial
3180,Public,0,legal
3181,Private,0,financial
3182,Private,0,spoilers
3183,Public,0,medical
3184,Private,0,medical
3185,Private,1,promotion
3186,Private,1,spoilers
3187,Public,0,medical
3188,Private,1,legal
3189,Private,0,financial
3190,Public,0,legal
3191,Public,0,medical
3192,Private,0,advertising
3193,Private,0,spoilers
3194,Public,1,spoilers
3195,Private,1,legal
3196,Public,0,spoilers
3197,Public,1,advertising
3198,Public,1,financial
3199,Private,0,financial
3200,Public,1,medical
3201,Private,0,advertising
3202,Private,0,financial
3203,Private,1,spoilers
3204,Public,0,financial
3205,Public,0,medical
3206,Public,0,legal
3207,Public,1,medical
3208,Private,0,advertising
3209,Private,0,advertising
3210,Public,0,legal
3211,Public,1,promotion
3212,Public,0,medical
3213,Private,1,legal
3214,Private,1,advertising
3215,Private,1,legal
3216,Public,0,financial
3217,Public,0,spoilers
3218,Public,1,legal
3219,Private,1,promotion
3220,Private,1,promotion
3221,Public,1,legal
3222,Private,0,advertising
3223,Public,0,financial
3224,Public,1,promotion
